feature,importance
tag_assassin,0.06842283
tag_tank,0.03498341
attackspeed_lvl18,0.03287403
attackspeed_lvl11,0.031266525
attackspeed_lvl6,0.031012286
attackspeed_lvl16,0.0302034
tag_support,0.02984558
spellblock_lvl18,0.02955465
spellblock_lvl16,0.02910311
hp_lvl18,0.027864512
mp_lvl6,0.027627537
tag_marksman,0.027408585
attackdamage_lvl16,0.027204573
spellblock_lvl6,0.027020108
mp_lvl11,0.026811881
tag_fighter,0.02680548
armor_lvl18,0.02671339
attackdamage_lvl18,0.026037334
armor_lvl16,0.025945555
hp_lvl11,0.025713038
armor_lvl6,0.02559736
tag_mage,0.025514513
mp_lvl16,0.0253294
hp_lvl3,0.02519405
spellblock_lvl3,0.024904788
attackdamage_lvl3,0.024686925
spellblock_lvl11,0.024656592
mp_lvl3,0.024584103
mp_lvl18,0.024386855
attackdamage_lvl6,0.024104722
attackspeed_lvl3,0.023525827
armor_lvl3,0.023467187
attackdamage_lvl11,0.023171948
hp_lvl16,0.022913584
armor_lvl11,0.02284241
hp_lvl6,0.022701878
