feature,importance
르블랑,0.0107690785
닐라,0.00937878
세트,0.008936048
라이즈,0.008711236
벨코즈,0.00865514
자르반 4세,0.008595859
시비르,0.008447143
하이머딩거,0.008348968
아칼리,0.008171014
애니,0.008126244
헤카림,0.008076814
소나,0.00806517
샤코,0.007993862
루시안,0.007973171
트위치,0.007966186
트린다미어,0.007830911
코그모,0.0075544277
직스,0.0074954
갱플랭크,0.0074939528
드레이븐,0.0074776593
누누와 윌럼프,0.007408196
카타리나,0.0074032773
탐 켄치,0.007393994
요릭,0.007351196
오른,0.0071356944
아펠리오스,0.0071155084
바드,0.007098717
케이틀린,0.0070655714
스웨인,0.007060877
밀리오,0.007014626
나미,0.0070119966
브라움,0.0070107076
가렌,0.0069976286
사미라,0.006973608
코르키,0.0068903165
흐웨이,0.0068631745
애쉬,0.0068363864
세나,0.0068272557
아우렐리온 솔,0.0067768614
케넨,0.006742809
오로라,0.0066900477
뽀삐,0.0066614263
리븐,0.006660792
카밀,0.0066574067
제이스,0.006632646
문도 박사,0.0066210306
블라디미르,0.006620974
스카너,0.0066094124
쓰레쉬,0.006608866
트위스티드 페이트,0.0065726694
빅토르,0.0065541877
말자하,0.006547968
카서스,0.006534529
다리우스,0.0065213004
아리,0.0064960895
카직스,0.0064339656
베이가,0.006420059
잔나,0.0064040297
피즈,0.006319677
칼리스타,0.006274264
유나라,0.0062682307
노틸러스,0.006267788
신지드,0.006251748
야스오,0.006230614
니코,0.0062283515
멜,0.0062126517
초가스,0.0061990623
제라스,0.0061771777
리 신,0.0061713518
탈리야,0.0061691958
키아나,0.006154997
진,0.0061322753
아무무,0.0060933237
암베사,0.0060931803
베인,0.0060814973
이렐리아,0.0060788956
브랜드,0.0060520666
라칸,0.0060373815
모르가나,0.006011391
벨베스,0.0059934794
마오카이,0.0059934473
워윅,0.00596337
아크샨,0.005955616
징크스,0.0059425766
유미,0.00592925
크산테,0.005929183
스몰더,0.00591743
자야,0.005799147
그라가스,0.005792478
카이사,0.005785022
쉔,0.005779488
조이,0.005738484
자이라,0.005738368
럭스,0.005698344
트런들,0.005684418
파이크,0.005662369
애니비아,0.0056377538
나르,0.0056306673
블리츠크랭크,0.005622242
볼리베어,0.00561938
일라오이,0.0056100525
룰루,0.005594555
비에고,0.0055739847
탈론,0.005543753
아이번,0.0055395537
나피리,0.005511898
에코,0.005509859
쉬바나,0.0054978384
레넥톤,0.0054937224
잭스,0.0054656505
갈리오,0.00543851
렐,0.0054310835
케일,0.0054289578
자크,0.00539987
트리스타나,0.0053998684
알리스타,0.0053710057
아지르,0.005365452
리산드라,0.005343288
킨드레드,0.005315406
퀸,0.005303562
제드,0.0052865376
오공,0.005206295
세라핀,0.00518817
신 짜오,0.005187913
제리,0.005181767
판테온,0.0051652538
우디르,0.005159794
녹턴,0.005098232
바루스,0.0050788373
소라카,0.005053933
바이,0.005020152
럼블,0.0049863146
말파이트,0.0049647153
카르마,0.0049350094
렝가,0.004929732
다이애나,0.0048895795
세주아니,0.0048875897
질리언,0.004878481
릴리아,0.0048594796
그웬,0.004778703
엘리스,0.00471443
신드라,0.0046992963
아트록스,0.0046587763
렉사이,0.004657567
벡스,0.004579096
레오나,0.0045660688
미스 포츈,0.0045096427
모데카이저,0.004366867
마스터 이,0.0043293415
이즈리얼,0.0043293345
요네,0.004313247
피들스틱,0.004290958
케인,0.004274114
브라이어,0.004264328
사이온,0.0041260435
카시오페아,0.0040370133
카사딘,0.0040231333
나서스,0.0039280313
티모,0.003920752
오리아나,0.0038180724
올라프,0.0035821514
레나타 글라스크,0.003570838
사일러스,0.0035051673
이블린,0.003259337
그레이브즈,0.0031994805
니달리,0.0029381972
우르곳,0.0025309834
타릭,0.0023713678
피오라,0.0021514636
람머스,0.0
클레드,0.0
